gene	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000336	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5]	ID=gene:CPIJ000336;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5];gene_id=CPIJ000336;logic_name=vectorbase_culex
CPIJ000347	1	1	0		CD109 antigen precursor [Source:VB Community Annotation]	ID=gene:CPIJ000347;biotype=protein_coding;description=CD109 antigen precursor [Source:VB Community Annotation];gene_id=CPIJ000347;logic_name=vectorbase_culex
CPIJ000356	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ2]	ID=gene:CPIJ000356;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ2];gene_id=CPIJ000356;logic_name=vectorbase_culex
CPIJ000400	1	0	0		3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000400;biotype=protein_coding;description=3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ000400;logic_name=vectorbase_culex
CPIJ000416	1	1	0		alpha-aminoadipic semialdehyde synthase%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ000416;biotype=protein_coding;description=alpha-aminoadipic semialdehyde synthase%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ000416;logic_name=vectorbase_culex
CPIJ000444	0	0	1		serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000444;biotype=protein_coding;description=serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000444;logic_name=vectorbase_culex
CPIJ000455	0	0	1		Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091]	ID=gene:CPIJ000455;biotype=protein_coding;description=Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091];gene_id=CPIJ000455;logic_name=vectorbase_culex
CPIJ000470	0	0	1		Mitochondrial cytochrome c oxidase subunit VIC [Source:UniProtKB/TrEMBL%3BAcc:B0W0A6]	ID=gene:CPIJ000470;biotype=protein_coding;description=Mitochondrial cytochrome c oxidase subunit VIC [Source:UniProtKB/TrEMBL%3BAcc:B0W0A6];gene_id=CPIJ000470;logic_name=vectorbase_culex
CPIJ000484	0	0	1		Lethal 35Di [Source:UniProtKB/TrEMBL%3BAcc:B0W0C0]	ID=gene:CPIJ000484;biotype=protein_coding;description=Lethal 35Di [Source:UniProtKB/TrEMBL%3BAcc:B0W0C0];gene_id=CPIJ000484;logic_name=vectorbase_culex
CPIJ000498	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0D4]	ID=gene:CPIJ000498;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0D4];gene_id=CPIJ000498;logic_name=vectorbase_culex
CPIJ000503	0	0	1		mitochondrial ATPase inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000503;biotype=protein_coding;description=mitochondrial ATPase inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ000503;logic_name=vectorbase_culex
CPIJ000505	1	0	0			ID=gene:CPIJ000505;biotype=protein_coding;gene_id=CPIJ000505;logic_name=vectorbase_culex
CPIJ000508	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4]	ID=gene:CPIJ000508;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4];gene_id=CPIJ000508;logic_name=vectorbase_culex
CPIJ000512	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E8]	ID=gene:CPIJ000512;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E8];gene_id=CPIJ000512;logic_name=vectorbase_culex
CPIJ000513	1	0	0		Nuclear pore complex protein Nup155 [Source:UniProtKB/TrEMBL%3BAcc:B0W0E9]	ID=gene:CPIJ000513;biotype=protein_coding;description=Nuclear pore complex protein Nup155 [Source:UniProtKB/TrEMBL%3BAcc:B0W0E9];gene_id=CPIJ000513;logic_name=vectorbase_culex
CPIJ000531	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G7]	ID=gene:CPIJ000531;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G7];gene_id=CPIJ000531;logic_name=vectorbase_culex
CPIJ000535	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H1]	ID=gene:CPIJ000535;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H1];gene_id=CPIJ000535;logic_name=vectorbase_culex
CPIJ000637	0	0	1		NBP2b protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000637;biotype=protein_coding;description=NBP2b protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ000637;logic_name=vectorbase_culex
CPIJ000657	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W136]	ID=gene:CPIJ000657;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W136];gene_id=CPIJ000657;logic_name=vectorbase_culex
CPIJ000689	1	0	0		Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0]	ID=gene:CPIJ000689;biotype=protein_coding;description=Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0];gene_id=CPIJ000689;logic_name=vectorbase_culex
CPIJ000696	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M7]	ID=gene:CPIJ000696;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M7];gene_id=CPIJ000696;logic_name=vectorbase_culex
CPIJ000699	0	0	1	Vago	salivary Cys-rich secreted protein Vago [Source:VB Community Annotation]	ID=gene:CPIJ000699;Name=Vago;biotype=protein_coding;description=salivary Cys-rich secreted protein Vago [Source:VB Community Annotation];gene_id=CPIJ000699;logic_name=vectorbase_culex
CPIJ000726	0	0	1		ninjurin A%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000726;biotype=protein_coding;description=ninjurin A%2C putative [Source:VB Community Annotation];gene_id=CPIJ000726;logic_name=vectorbase_culex
CPIJ000728	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0Q9]	ID=gene:CPIJ000728;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0Q9];gene_id=CPIJ000728;logic_name=vectorbase_culex
CPIJ000729	0	0	1	mRpL18	39S ribosomal protein L18%2C mitochondrial [Source:VB Community Annotation]	ID=gene:CPIJ000729;Name=mRpL18;biotype=protein_coding;description=39S ribosomal protein L18%2C mitochondrial [Source:VB Community Annotation];gene_id=CPIJ000729;logic_name=vectorbase_culex
CPIJ000733	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0R4]	ID=gene:CPIJ000733;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0R4];gene_id=CPIJ000733;logic_name=vectorbase_culex
CPIJ000734	1	0	0		Glutaminyl-tRNA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0W0R5]	ID=gene:CPIJ000734;biotype=protein_coding;description=Glutaminyl-tRNA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0W0R5];gene_id=CPIJ000734;logic_name=vectorbase_culex
CPIJ000736	0	0	1		chromatin assembly factor-I p150 subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000736;biotype=protein_coding;description=chromatin assembly factor-I p150 subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ000736;logic_name=vectorbase_culex
CPIJ000746	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0S7]	ID=gene:CPIJ000746;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0S7];gene_id=CPIJ000746;logic_name=vectorbase_culex
CPIJ000751	0	0	1		transmembrane domain-containing conserved protein [Source:VB Community Annotation]	ID=gene:CPIJ000751;biotype=protein_coding;description=transmembrane domain-containing conserved protein [Source:VB Community Annotation];gene_id=CPIJ000751;logic_name=vectorbase_culex
CPIJ000752	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H4]	ID=gene:CPIJ000752;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1H4];gene_id=CPIJ000752;logic_name=vectorbase_culex
CPIJ000784	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1K6]	ID=gene:CPIJ000784;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1K6];gene_id=CPIJ000784;logic_name=vectorbase_culex
CPIJ000857	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W196]	ID=gene:CPIJ000857;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W196];gene_id=CPIJ000857;logic_name=vectorbase_culex
CPIJ000869	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1A8]	ID=gene:CPIJ000869;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1A8];gene_id=CPIJ000869;logic_name=vectorbase_culex
CPIJ000879	0	0	1		Mitochondrial NADH dehydrogenase Fe-S protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1B8]	ID=gene:CPIJ000879;biotype=protein_coding;description=Mitochondrial NADH dehydrogenase Fe-S protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1B8];gene_id=CPIJ000879;logic_name=vectorbase_culex
CPIJ000908	0	0	1		Cell death-regulatory protein GRIM19 [Source:UniProtKB/TrEMBL%3BAcc:B0W1E7]	ID=gene:CPIJ000908;biotype=protein_coding;description=Cell death-regulatory protein GRIM19 [Source:UniProtKB/TrEMBL%3BAcc:B0W1E7];gene_id=CPIJ000908;logic_name=vectorbase_culex
CPIJ000979	0	0	1		DNA-directed RNA polymerase I subunit D [Source:UniProtKB/TrEMBL%3BAcc:B0W1R5]	ID=gene:CPIJ000979;biotype=protein_coding;description=DNA-directed RNA polymerase I subunit D [Source:UniProtKB/TrEMBL%3BAcc:B0W1R5];gene_id=CPIJ000979;logic_name=vectorbase_culex
CPIJ001031	0	0	1		Coiled-coil domain-containing protein 12 [Source:UniProtKB/TrEMBL%3BAcc:B0W1W6]	ID=gene:CPIJ001031;biotype=protein_coding;description=Coiled-coil domain-containing protein 12 [Source:UniProtKB/TrEMBL%3BAcc:B0W1W6];gene_id=CPIJ001031;logic_name=vectorbase_culex
CPIJ001065	1	0	0		vacuolar protein sorting vps16 [Source:VB Community Annotation]	ID=gene:CPIJ001065;biotype=protein_coding;description=vacuolar protein sorting vps16 [Source:VB Community Annotation];gene_id=CPIJ001065;logic_name=vectorbase_culex
CPIJ001085	0	0	1		Low molecular weight protein-tyrosine-phosphatase [Source:UniProtKB/TrEMBL%3BAcc:B0W220]	ID=gene:CPIJ001085;biotype=protein_coding;description=Low molecular weight protein-tyrosine-phosphatase [Source:UniProtKB/TrEMBL%3BAcc:B0W220];gene_id=CPIJ001085;logic_name=vectorbase_culex
CPIJ001119	0	0	1	RpS21	40S ribosomal protein S21 [Source:UniProtKB/TrEMBL%3BAcc:B0W289]	ID=gene:CPIJ001119;Name=RpS21;biotype=protein_coding;description=40S ribosomal protein S21 [Source:UniProtKB/TrEMBL%3BAcc:B0W289];gene_id=CPIJ001119;logic_name=vectorbase_culex
CPIJ001176	1	0	0		coatomer%2C gamma-subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ001176;biotype=protein_coding;description=coatomer%2C gamma-subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ001176;logic_name=vectorbase_culex
CPIJ001179	1	0	0		importin alpha [Source:VB Community Annotation]	ID=gene:CPIJ001179;biotype=protein_coding;description=importin alpha [Source:VB Community Annotation];gene_id=CPIJ001179;logic_name=vectorbase_culex
CPIJ001180	0	0	1	RpS15	40S ribosomal protein S15 [Source:UniProtKB/TrEMBL%3BAcc:B0W2E6]	ID=gene:CPIJ001180;Name=RpS15;biotype=protein_coding;description=40S ribosomal protein S15 [Source:UniProtKB/TrEMBL%3BAcc:B0W2E6];gene_id=CPIJ001180;logic_name=vectorbase_culex
CPIJ001183	0	0	1		39S ribosomal protein L41%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ001183;biotype=protein_coding;description=39S ribosomal protein L41%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ001183;logic_name=vectorbase_culex
CPIJ001184	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W2F0]	ID=gene:CPIJ001184;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W2F0];gene_id=CPIJ001184;logic_name=vectorbase_culex
CPIJ001194	0	0	1		snrnp sm protein [Source:VB Community Annotation]	ID=gene:CPIJ001194;biotype=protein_coding;description=snrnp sm protein [Source:VB Community Annotation];gene_id=CPIJ001194;logic_name=vectorbase_culex
CPIJ001214	0	0	1		Ribosome biogenesis protein RLP24 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B1]	ID=gene:CPIJ001214;biotype=protein_coding;description=Ribosome biogenesis protein RLP24 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B1];gene_id=CPIJ001214;logic_name=vectorbase_culex
CPIJ001218	0	0	1	RpS23	40S ribosomal protein S23 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B5]	ID=gene:CPIJ001218;Name=RpS23;biotype=protein_coding;description=40S ribosomal protein S23 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B5];gene_id=CPIJ001218;logic_name=vectorbase_culex
CPIJ001219	0	0	1		DNA-directed RNA polymerase II 19 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0W2B6]	ID=gene:CPIJ001219;biotype=protein_coding;description=DNA-directed RNA polymerase II 19 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0W2B6];gene_id=CPIJ001219;logic_name=vectorbase_culex
CPIJ001220	0	0	1		60S ribosomal protein L32 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B7]	ID=gene:CPIJ001220;biotype=protein_coding;description=60S ribosomal protein L32 [Source:UniProtKB/TrEMBL%3BAcc:B0W2B7];gene_id=CPIJ001220;logic_name=vectorbase_culex
CPIJ001274	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2M4]	ID=gene:CPIJ001274;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2M4];gene_id=CPIJ001274;logic_name=vectorbase_culex
CPIJ001284	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2N4]	ID=gene:CPIJ001284;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2N4];gene_id=CPIJ001284;logic_name=vectorbase_culex
CPIJ001313	0	0	1		mediator complex%2C subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ001313;biotype=protein_coding;description=mediator complex%2C subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ001313;logic_name=vectorbase_culex
CPIJ001344	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W338]	ID=gene:CPIJ001344;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W338];gene_id=CPIJ001344;logic_name=vectorbase_culex
CPIJ001395	1	0	0		Translocase of outer membrane 34 [Source:UniProtKB/TrEMBL%3BAcc:B0W3K9]	ID=gene:CPIJ001395;biotype=protein_coding;description=Translocase of outer membrane 34 [Source:UniProtKB/TrEMBL%3BAcc:B0W3K9];gene_id=CPIJ001395;logic_name=vectorbase_culex
CPIJ001423	1	0	0		Ubiquitin-activating enzyme E1 [Source:UniProtKB/TrEMBL%3BAcc:B0W2P8]	ID=gene:CPIJ001423;biotype=protein_coding;description=Ubiquitin-activating enzyme E1 [Source:UniProtKB/TrEMBL%3BAcc:B0W2P8];gene_id=CPIJ001423;logic_name=vectorbase_culex
CPIJ001435	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2R0]	ID=gene:CPIJ001435;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2R0];gene_id=CPIJ001435;logic_name=vectorbase_culex
CPIJ001468	0	0	1		RING-box protein 1a [Source:UniProtKB/TrEMBL%3BAcc:B0W4Y5]	ID=gene:CPIJ001468;biotype=protein_coding;description=RING-box protein 1a [Source:UniProtKB/TrEMBL%3BAcc:B0W4Y5];gene_id=CPIJ001468;logic_name=vectorbase_culex
CPIJ001479	0	0	1		Mediator of RNA polymerase II transcription subunit 11 [Source:UniProtKB/TrEMBL%3BAcc:B0W4Z6]	ID=gene:CPIJ001479;biotype=protein_coding;description=Mediator of RNA polymerase II transcription subunit 11 [Source:UniProtKB/TrEMBL%3BAcc:B0W4Z6];gene_id=CPIJ001479;logic_name=vectorbase_culex
CPIJ001487	0	0	1		Polyubiquitin [Source:UniProtKB/TrEMBL%3BAcc:B0W504]	ID=gene:CPIJ001487;biotype=protein_coding;description=Polyubiquitin [Source:UniProtKB/TrEMBL%3BAcc:B0W504];gene_id=CPIJ001487;logic_name=vectorbase_culex
CPIJ001507	0	0	1		cysteine-rich secretory protein 3 precursor [Source:VB Community Annotation]	ID=gene:CPIJ001507;biotype=protein_coding;description=cysteine-rich secretory protein 3 precursor [Source:VB Community Annotation];gene_id=CPIJ001507;logic_name=vectorbase_culex
CPIJ001508	0	0	1		mediator complex%2C subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ001508;biotype=protein_coding;description=mediator complex%2C subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ001508;logic_name=vectorbase_culex
CPIJ001568	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2W8]	ID=gene:CPIJ001568;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2W8];gene_id=CPIJ001568;logic_name=vectorbase_culex
CPIJ001572	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2X2]	ID=gene:CPIJ001572;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2X2];gene_id=CPIJ001572;logic_name=vectorbase_culex
CPIJ001587	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2Y7]	ID=gene:CPIJ001587;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2Y7];gene_id=CPIJ001587;logic_name=vectorbase_culex
CPIJ001592	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2Z2]	ID=gene:CPIJ001592;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W2Z2];gene_id=CPIJ001592;logic_name=vectorbase_culex
CPIJ001627	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W383]	ID=gene:CPIJ001627;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W383];gene_id=CPIJ001627;logic_name=vectorbase_culex
CPIJ001632	0	0	1		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W388]	ID=gene:CPIJ001632;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W388];gene_id=CPIJ001632;logic_name=vectorbase_culex
CPIJ001639	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W395]	ID=gene:CPIJ001639;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W395];gene_id=CPIJ001639;logic_name=vectorbase_culex
CPIJ001644	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3A0]	ID=gene:CPIJ001644;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3A0];gene_id=CPIJ001644;logic_name=vectorbase_culex
CPIJ001674	1	0	0	Exo2	Exocyst complex component 2 [Source:UniProtKB/TrEMBL%3BAcc:B0W3D0]	ID=gene:CPIJ001674;Name=Exo2;biotype=protein_coding;description=Exocyst complex component 2 [Source:UniProtKB/TrEMBL%3BAcc:B0W3D0];gene_id=CPIJ001674;logic_name=vectorbase_culex
CPIJ001688	0	0	1		39S ribosomal protein L43%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ001688;biotype=protein_coding;description=39S ribosomal protein L43%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ001688;logic_name=vectorbase_culex
CPIJ001706	0	0	1		small nuclear ribonucleoprotein sm d2 [Source:VB Community Annotation]	ID=gene:CPIJ001706;biotype=protein_coding;description=small nuclear ribonucleoprotein sm d2 [Source:VB Community Annotation];gene_id=CPIJ001706;logic_name=vectorbase_culex
CPIJ001806	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W446]	ID=gene:CPIJ001806;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W446];gene_id=CPIJ001806;logic_name=vectorbase_culex
CPIJ001851	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W491]	ID=gene:CPIJ001851;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W491];gene_id=CPIJ001851;logic_name=vectorbase_culex
CPIJ001853	0	0	1		D030070L09Rik protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4J6]	ID=gene:CPIJ001853;biotype=protein_coding;description=D030070L09Rik protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4J6];gene_id=CPIJ001853;logic_name=vectorbase_culex
CPIJ001855	0	0	1		DNA-directed RNA polymerase II 15.1 kDa polypeptide [Source:VB Community Annotation]	ID=gene:CPIJ001855;biotype=protein_coding;description=DNA-directed RNA polymerase II 15.1 kDa polypeptide [Source:VB Community Annotation];gene_id=CPIJ001855;logic_name=vectorbase_culex
CPIJ001868	0	0	1		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4L1]	ID=gene:CPIJ001868;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4L1];gene_id=CPIJ001868;logic_name=vectorbase_culex
CPIJ001887	0	1	0		Neuroendocrine protein 7b2 [Source:UniProtKB/TrEMBL%3BAcc:B0W4N0]	ID=gene:CPIJ001887;biotype=protein_coding;description=Neuroendocrine protein 7b2 [Source:UniProtKB/TrEMBL%3BAcc:B0W4N0];gene_id=CPIJ001887;logic_name=vectorbase_culex
CPIJ001912	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4Q5]	ID=gene:CPIJ001912;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W4Q5];gene_id=CPIJ001912;logic_name=vectorbase_culex
