gene	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000211	0	0	1	1	0	0	1		cysteine-rich secretory protein-2%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000211;biotype=protein_coding;description=cysteine-rich secretory protein-2%2C putative [Source:VB Community Annotation];gene_id=CPIJ000211;logic_name=vectorbase_culex
CPIJ000218	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZU9]	ID=gene:CPIJ000218;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZU9];gene_id=CPIJ000218;logic_name=vectorbase_culex
CPIJ000224	1	0	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZV5]	ID=gene:CPIJ000224;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZV5];gene_id=CPIJ000224;logic_name=vectorbase_culex
CPIJ000229	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW0]	ID=gene:CPIJ000229;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW0];gene_id=CPIJ000229;logic_name=vectorbase_culex
CPIJ000230	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW1]	ID=gene:CPIJ000230;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW1];gene_id=CPIJ000230;logic_name=vectorbase_culex
CPIJ000231	0	0	0	1	0	0	0		Kinesin [Source:UniProtKB/TrEMBL%3BAcc:B0VZW2]	ID=gene:CPIJ000231;biotype=protein_coding;description=Kinesin [Source:UniProtKB/TrEMBL%3BAcc:B0VZW2];gene_id=CPIJ000231;logic_name=vectorbase_culex
CPIJ000235	0	0	0	0	1	0	0		Peanut protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW6]	ID=gene:CPIJ000235;biotype=protein_coding;description=Peanut protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW6];gene_id=CPIJ000235;logic_name=vectorbase_culex
CPIJ000236	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW7]	ID=gene:CPIJ000236;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW7];gene_id=CPIJ000236;logic_name=vectorbase_culex
CPIJ000243	0	0	0	1	0	0	0		otefin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000243;biotype=protein_coding;description=otefin%2C putative [Source:VB Community Annotation];gene_id=CPIJ000243;logic_name=vectorbase_culex
CPIJ000247	0	0	1	1	0	0	1		Syntaxin Interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZD6]	ID=gene:CPIJ000247;biotype=protein_coding;description=Syntaxin Interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZD6];gene_id=CPIJ000247;logic_name=vectorbase_culex
CPIJ000258	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZE7]	ID=gene:CPIJ000258;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZE7];gene_id=CPIJ000258;logic_name=vectorbase_culex
CPIJ000264	0	0	0	1	0	0	0		survival motor neuron-interacting protein 1 [Source:VB Community Annotation]	ID=gene:CPIJ000264;biotype=protein_coding;description=survival motor neuron-interacting protein 1 [Source:VB Community Annotation];gene_id=CPIJ000264;logic_name=vectorbase_culex
CPIJ000266	1	0	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZF5]	ID=gene:CPIJ000266;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZF5];gene_id=CPIJ000266;logic_name=vectorbase_culex
CPIJ000279	0	0	1	1	0	0	0	RpL23a	60S ribosomal protein L23a [Source:VB Community Annotation]	ID=gene:CPIJ000279;Name=RpL23a;biotype=protein_coding;description=60S ribosomal protein L23a [Source:VB Community Annotation];gene_id=CPIJ000279;logic_name=vectorbase_culex
CPIJ000284	0	0	0	1	0	0	0		Peroxisomal membrane protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZH3]	ID=gene:CPIJ000284;biotype=protein_coding;description=Peroxisomal membrane protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZH3];gene_id=CPIJ000284;logic_name=vectorbase_culex
CPIJ000286	0	0	0	0	1	0	0		WD repeat protein 26 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH5]	ID=gene:CPIJ000286;biotype=protein_coding;description=WD repeat protein 26 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH5];gene_id=CPIJ000286;logic_name=vectorbase_culex
CPIJ000290	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZH9]	ID=gene:CPIJ000290;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZH9];gene_id=CPIJ000290;logic_name=vectorbase_culex
CPIJ000293	0	0	1	1	0	0	0	CYP4J18	cytochrome P450 4J18 [Source:VB Community Annotation]	ID=gene:CPIJ000293;Name=CYP4J18;biotype=protein_coding;description=cytochrome P450 4J18 [Source:VB Community Annotation];gene_id=CPIJ000293;logic_name=vectorbase_culex
CPIJ000301	0	0	0	1	0	0	0		histone-fold protein CHRAC subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000301;biotype=protein_coding;description=histone-fold protein CHRAC subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ000301;logic_name=vectorbase_culex
CPIJ000305	0	0	1	1	0	0	0		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ4]	ID=gene:CPIJ000305;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZJ4];gene_id=CPIJ000305;logic_name=vectorbase_culex
CPIJ000318	0	0	1	1	0	0	1		cytochrome b5%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000318;biotype=protein_coding;description=cytochrome b5%2C putative [Source:VB Community Annotation];gene_id=CPIJ000318;logic_name=vectorbase_culex
CPIJ000323	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL2]	ID=gene:CPIJ000323;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL2];gene_id=CPIJ000323;logic_name=vectorbase_culex
CPIJ000324	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL3]	ID=gene:CPIJ000324;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZL3];gene_id=CPIJ000324;logic_name=vectorbase_culex
CPIJ000336	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5]	ID=gene:CPIJ000336;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZM5];gene_id=CPIJ000336;logic_name=vectorbase_culex
CPIJ000347	0	0	0	0	1	1	0		CD109 antigen precursor [Source:VB Community Annotation]	ID=gene:CPIJ000347;biotype=protein_coding;description=CD109 antigen precursor [Source:VB Community Annotation];gene_id=CPIJ000347;logic_name=vectorbase_culex
CPIJ000356	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ2]	ID=gene:CPIJ000356;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZZ2];gene_id=CPIJ000356;logic_name=vectorbase_culex
CPIJ000357	0	0	0	1	0	0	0		hsp70 binding protein [Source:VB Community Annotation]	ID=gene:CPIJ000357;biotype=protein_coding;description=hsp70 binding protein [Source:VB Community Annotation];gene_id=CPIJ000357;logic_name=vectorbase_culex
CPIJ000382	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W018]	ID=gene:CPIJ000382;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W018];gene_id=CPIJ000382;logic_name=vectorbase_culex
CPIJ000394	0	0	1	1	0	0	0		G-protein%2C gamma-subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000394;biotype=protein_coding;description=G-protein%2C gamma-subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ000394;logic_name=vectorbase_culex
CPIJ000400	0	0	0	0	1	0	0		3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000400;biotype=protein_coding;description=3-hydroxyisobutyrate dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ000400;logic_name=vectorbase_culex
CPIJ000409	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W045]	ID=gene:CPIJ000409;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W045];gene_id=CPIJ000409;logic_name=vectorbase_culex
CPIJ000416	0	0	0	0	1	1	0		alpha-aminoadipic semialdehyde synthase%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ000416;biotype=protein_coding;description=alpha-aminoadipic semialdehyde synthase%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ000416;logic_name=vectorbase_culex
CPIJ000432	0	0	1	1	0	0	0		t-box transcription factor tbx20 [Source:VB Community Annotation]	ID=gene:CPIJ000432;biotype=protein_coding;description=t-box transcription factor tbx20 [Source:VB Community Annotation];gene_id=CPIJ000432;logic_name=vectorbase_culex
CPIJ000443	0	0	1	1	0	0	0		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000443;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ000443;logic_name=vectorbase_culex
CPIJ000444	0	0	1	1	0	0	1		serine protease%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000444;biotype=protein_coding;description=serine protease%2C putative [Source:VB Community Annotation];gene_id=CPIJ000444;logic_name=vectorbase_culex
CPIJ000449	0	0	1	1	0	0	0		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000449;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ000449;logic_name=vectorbase_culex
CPIJ000455	0	0	1	1	0	0	1		Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091]	ID=gene:CPIJ000455;biotype=protein_coding;description=Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W091];gene_id=CPIJ000455;logic_name=vectorbase_culex
CPIJ000456	0	1	0	1	0	0	0		Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W092]	ID=gene:CPIJ000456;biotype=protein_coding;description=Ribonuclease UK114 [Source:UniProtKB/TrEMBL%3BAcc:B0W092];gene_id=CPIJ000456;logic_name=vectorbase_culex
CPIJ000459	0	0	0	1	0	0	0		T-complex protein 1%2C alpha subunit(TCP-1-alpha)(CCT-alpha) [Source:VB Community Annotation]	ID=gene:CPIJ000459;biotype=protein_coding;description=T-complex protein 1%2C alpha subunit(TCP-1-alpha)(CCT-alpha) [Source:VB Community Annotation];gene_id=CPIJ000459;logic_name=vectorbase_culex
CPIJ000468	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0A4]	ID=gene:CPIJ000468;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0A4];gene_id=CPIJ000468;logic_name=vectorbase_culex
CPIJ000470	0	0	1	1	0	0	1		Mitochondrial cytochrome c oxidase subunit VIC [Source:UniProtKB/TrEMBL%3BAcc:B0W0A6]	ID=gene:CPIJ000470;biotype=protein_coding;description=Mitochondrial cytochrome c oxidase subunit VIC [Source:UniProtKB/TrEMBL%3BAcc:B0W0A6];gene_id=CPIJ000470;logic_name=vectorbase_culex
CPIJ000472	0	0	1	0	0	0	0		antithrombin-III precursor [Source:VB Community Annotation]	ID=gene:CPIJ000472;biotype=protein_coding;description=antithrombin-III precursor [Source:VB Community Annotation];gene_id=CPIJ000472;logic_name=vectorbase_culex
CPIJ000484	0	0	1	1	0	0	1		Lethal 35Di [Source:UniProtKB/TrEMBL%3BAcc:B0W0C0]	ID=gene:CPIJ000484;biotype=protein_coding;description=Lethal 35Di [Source:UniProtKB/TrEMBL%3BAcc:B0W0C0];gene_id=CPIJ000484;logic_name=vectorbase_culex
CPIJ000497-RB	0	0	0	1	0	0	0	NA	NA	NA
CPIJ000498	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0D4]	ID=gene:CPIJ000498;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0D4];gene_id=CPIJ000498;logic_name=vectorbase_culex
CPIJ000503	0	0	1	1	0	0	1		mitochondrial ATPase inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000503;biotype=protein_coding;description=mitochondrial ATPase inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ000503;logic_name=vectorbase_culex
CPIJ000505	0	0	0	0	1	0	0			ID=gene:CPIJ000505;biotype=protein_coding;gene_id=CPIJ000505;logic_name=vectorbase_culex
CPIJ000506	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E2]	ID=gene:CPIJ000506;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E2];gene_id=CPIJ000506;logic_name=vectorbase_culex
CPIJ000507	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E3]	ID=gene:CPIJ000507;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E3];gene_id=CPIJ000507;logic_name=vectorbase_culex
CPIJ000508	0	0	1	1	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4]	ID=gene:CPIJ000508;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W0E4];gene_id=CPIJ000508;logic_name=vectorbase_culex
CPIJ000510	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E6]	ID=gene:CPIJ000510;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E6];gene_id=CPIJ000510;logic_name=vectorbase_culex
CPIJ000512	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E8]	ID=gene:CPIJ000512;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0E8];gene_id=CPIJ000512;logic_name=vectorbase_culex
CPIJ000513	0	0	0	0	1	0	0		Nuclear pore complex protein Nup155 [Source:UniProtKB/TrEMBL%3BAcc:B0W0E9]	ID=gene:CPIJ000513;biotype=protein_coding;description=Nuclear pore complex protein Nup155 [Source:UniProtKB/TrEMBL%3BAcc:B0W0E9];gene_id=CPIJ000513;logic_name=vectorbase_culex
CPIJ000531	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G7]	ID=gene:CPIJ000531;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G7];gene_id=CPIJ000531;logic_name=vectorbase_culex
CPIJ000533	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G9]	ID=gene:CPIJ000533;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0G9];gene_id=CPIJ000533;logic_name=vectorbase_culex
CPIJ000534	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H0]	ID=gene:CPIJ000534;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H0];gene_id=CPIJ000534;logic_name=vectorbase_culex
CPIJ000535	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H1]	ID=gene:CPIJ000535;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0H1];gene_id=CPIJ000535;logic_name=vectorbase_culex
CPIJ000559	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0T8]	ID=gene:CPIJ000559;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0T8];gene_id=CPIJ000559;logic_name=vectorbase_culex
CPIJ000560	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0T9]	ID=gene:CPIJ000560;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0T9];gene_id=CPIJ000560;logic_name=vectorbase_culex
CPIJ000562	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U1]	ID=gene:CPIJ000562;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U1];gene_id=CPIJ000562;logic_name=vectorbase_culex
CPIJ000566	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U5]	ID=gene:CPIJ000566;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0U5];gene_id=CPIJ000566;logic_name=vectorbase_culex
CPIJ000576	0	0	0	1	0	0	0		Sulfotransferase [Source:UniProtKB/TrEMBL%3BAcc:B0W0V5]	ID=gene:CPIJ000576;biotype=protein_coding;description=Sulfotransferase [Source:UniProtKB/TrEMBL%3BAcc:B0W0V5];gene_id=CPIJ000576;logic_name=vectorbase_culex
CPIJ000620	0	0	0	1	0	0	0		Ribonuclease iii [Source:UniProtKB/TrEMBL%3BAcc:B0W0Z9]	ID=gene:CPIJ000620;biotype=protein_coding;description=Ribonuclease iii [Source:UniProtKB/TrEMBL%3BAcc:B0W0Z9];gene_id=CPIJ000620;logic_name=vectorbase_culex
CPIJ000626	0	0	0	1	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W105]	ID=gene:CPIJ000626;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W105];gene_id=CPIJ000626;logic_name=vectorbase_culex
CPIJ000637	0	0	1	1	0	0	1		NBP2b protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000637;biotype=protein_coding;description=NBP2b protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ000637;logic_name=vectorbase_culex
CPIJ000657	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W136]	ID=gene:CPIJ000657;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W136];gene_id=CPIJ000657;logic_name=vectorbase_culex
CPIJ000660	0	0	0	1	0	0	0		Timeout/timeless-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W0J1]	ID=gene:CPIJ000660;biotype=protein_coding;description=Timeout/timeless-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W0J1];gene_id=CPIJ000660;logic_name=vectorbase_culex
CPIJ000689	0	0	0	0	1	0	0		Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0]	ID=gene:CPIJ000689;biotype=protein_coding;description=Eukaryotic translation initiation factor 5 [Source:UniProtKB/TrEMBL%3BAcc:B0W0M0];gene_id=CPIJ000689;logic_name=vectorbase_culex
CPIJ000695	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M6]	ID=gene:CPIJ000695;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M6];gene_id=CPIJ000695;logic_name=vectorbase_culex
CPIJ000696	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M7]	ID=gene:CPIJ000696;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0M7];gene_id=CPIJ000696;logic_name=vectorbase_culex
CPIJ000699	0	0	1	1	0	0	1	Vago	salivary Cys-rich secreted protein Vago [Source:VB Community Annotation]	ID=gene:CPIJ000699;Name=Vago;biotype=protein_coding;description=salivary Cys-rich secreted protein Vago [Source:VB Community Annotation];gene_id=CPIJ000699;logic_name=vectorbase_culex
CPIJ000710	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0P1]	ID=gene:CPIJ000710;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W0P1];gene_id=CPIJ000710;logic_name=vectorbase_culex
CPIJ000726	0	0	0	0	0	0	1		ninjurin A%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000726;biotype=protein_coding;description=ninjurin A%2C putative [Source:VB Community Annotation];gene_id=CPIJ000726;logic_name=vectorbase_culex
CPIJ000727	0	0	0	1	0	0	0		ribonuclease P%2C 29kD-subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000727;biotype=protein_coding;description=ribonuclease P%2C 29kD-subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ000727;logic_name=vectorbase_culex
