GO;Sham_C-WNVp_C;WNVp_C.WNVp_WNV;Sham_WNV.WNVp_WNV;WNVp_WNV.WNVp_JEV;Sham_JEV.WNVp_JEV;Sham_C.Sham_WNV;Sham_C.Sham_JEV;Sham_C.WNVp_WNV;Sham_C.WNVp_JEV;Term;class
GO:0007610;0;0;0;0;0;1;0;0;0;behavior;BP
GO:0008152;0;0;0;1;1;1;1;1;1;metabolic process;BP
GO:0008380;0;0;1;1;1;1;1;1;1;RNA splicing;BP
GO:0008655;0;0;0;0;0;1;0;0;0;pyrimidine-containing compound salvage;BP
GO:0009058;0;0;0;0;0;0;1;0;0;biosynthetic process;BP
GO:0009123;0;0;0;0;0;0;1;0;0;nucleoside monophosphate metabolic proce...;BP
GO:0009218;0;0;0;0;0;1;0;0;0;pyrimidine ribonucleotide metabolic proc...;BP
GO:0009220;0;0;0;0;0;1;0;0;0;pyrimidine ribonucleotide biosynthetic p...;BP
GO:0009310;0;0;0;0;0;1;0;0;0;amine catabolic process;BP
GO:0009605;0;1;1;1;1;1;0;1;1;response to external stimulus;BP
GO:0009607;0;0;1;1;0;1;0;0;0;response to biotic stimulus;BP
GO:0009611;0;1;0;0;0;0;0;0;0;response to wounding;BP
GO:0009636;0;0;1;0;1;1;1;0;0;response to toxic substance;BP
GO:0009892;0;0;0;0;1;0;0;0;0;negative regulation of metabolic process;BP
GO:0009966;0;0;0;0;0;0;1;0;0;regulation of signal transduction;BP
GO:0009967;0;0;0;0;0;0;1;0;0;positive regulation of signal transducti...;BP
GO:0009987;0;0;0;0;0;0;1;0;0;cellular process;BP
GO:0010035;0;0;1;0;1;0;0;0;0;response to inorganic substance;BP
GO:0010605;0;0;0;0;1;0;0;0;0;negative regulation of macromolecule met...;BP
GO:0010639;0;0;0;1;0;0;0;1;1;negative regulation of organelle organiz...;BP
GO:0010647;0;0;0;0;0;0;1;0;0;positive regulation of cell communicatio...;BP
GO:0015833;0;0;0;1;1;1;0;0;0;peptide transport;BP
GO:0016071;0;0;1;1;1;1;0;1;1;mRNA metabolic process;BP
GO:0016192;0;0;0;1;1;1;0;1;1;vesicle-mediated transport;BP
GO:0016311;0;0;0;1;0;0;0;1;1;dephosphorylation;BP
GO:0016573;0;0;0;0;1;0;0;0;0;histone acetylation;BP
GO:0016925;0;0;1;0;0;0;1;0;0;protein sumoylation;BP
GO:0018205;0;0;0;0;1;0;1;0;0;peptidyl-lysine modification;BP
GO:0018208;0;0;0;1;0;0;0;1;1;peptidyl-proline modification;BP
GO:0019220;0;0;0;1;0;0;1;1;1;regulation of phosphate metabolic proces...;BP
GO:0019637;0;0;0;0;0;0;1;0;0;organophosphate metabolic process;BP
GO:0022411;0;0;0;1;0;0;0;1;1;cellular component disassembly;BP
GO:0022607;0;0;0;1;0;0;0;1;1;cellular component assembly;BP
GO:0022900;0;0;0;1;1;0;0;1;1;electron transport chain;BP
GO:0023056;0;0;0;0;0;0;1;0;0;positive regulation of signaling;BP
GO:0030036;0;0;0;0;0;0;0;1;1;actin cytoskeleton organization;BP
GO:0030162;0;0;0;0;1;0;0;0;0;regulation of proteolysis;BP
GO:0030431;0;0;0;0;0;1;0;0;0;sleep;BP
GO:0030488;0;0;0;0;0;1;0;0;0;tRNA methylation;BP
GO:0031324;0;0;0;0;1;0;0;0;0;negative regulation of cellular metaboli...;BP
GO:0031399;0;0;0;1;0;0;1;0;0;regulation of protein modification proce...;BP
GO:0032101;0;1;0;0;0;0;0;0;0;regulation of response to external stimu...;BP
GO:0032269;0;0;0;0;1;0;0;0;0;negative regulation of cellular protein ...;BP
GO:0032535;0;0;0;1;0;0;0;1;1;regulation of cellular component size;BP
GO:0032956;0;0;0;0;0;0;0;1;1;regulation of actin cytoskeleton organiz...;BP
GO:0032970;0;0;0;1;0;0;0;1;1;regulation of actin filament-based proce...;BP
GO:0032989;0;0;0;0;0;1;0;0;0;cellular component morphogenesis;BP
GO:0033036;0;0;0;0;0;1;1;1;1;macromolecule localization;BP
GO:0033043;0;0;0;1;0;0;0;1;1;regulation of organelle organization;BP
GO:0034641;0;0;0;0;1;0;1;0;0;cellular nitrogen compound metabolic pro...;BP
GO:0035308;0;0;0;0;0;0;1;0;0;negative regulation of protein dephospho...;BP
GO:0035556;0;0;0;0;0;0;1;0;0;intracellular signal transduction;BP
GO:0042325;0;0;0;1;0;0;1;1;1;regulation of phosphorylation;BP
GO:0042752;0;0;0;0;0;1;0;0;0;regulation of circadian rhythm;BP
GO:0042770;0;0;0;0;0;1;0;0;0;signal transduction in response to DNA d...;BP
GO:0042822;0;0;0;0;0;1;0;0;0;pyridoxal phosphate metabolic process;BP
GO:0043086;0;0;0;0;1;0;0;0;0;negative regulation of catalytic activit...;BP
GO:0043094;0;0;0;0;0;1;1;0;0;cellular metabolic compound salvage;BP
GO:0043173;0;0;0;0;0;1;0;0;0;nucleotide salvage;BP
GO:0043244;0;0;0;0;0;0;0;1;1;regulation of protein-containing complex...;BP
GO:0043543;0;0;0;0;1;0;1;0;0;protein acylation;BP
GO:0043933;0;0;0;1;0;0;0;1;1;protein-containing complex subunit organ...;BP
GO:0044085;0;0;0;1;0;1;0;1;1;cellular component biogenesis;BP
GO:0044087;0;0;0;0;0;0;0;1;1;regulation of cellular component biogene...;BP
GO:0044092;0;0;0;0;1;0;0;0;0;negative regulation of molecular functio...;BP
GO:0044237;0;0;0;1;1;0;1;1;1;cellular metabolic process;BP
GO:0044238;0;0;0;0;0;0;1;0;0;primary metabolic process;BP
GO:0044267;0;0;0;1;0;0;0;0;0;cellular protein metabolic process;BP
GO:0044419;0;0;1;0;0;1;0;0;0;interspecies interaction between organis...;BP
GO:0045184;0;0;0;1;1;1;1;0;0;establishment of protein localization;BP
GO:0045861;0;0;0;0;1;0;0;0;0;negative regulation of proteolysis;BP
GO:0046483;0;0;0;0;1;0;1;0;0;heterocycle metabolic process;BP
GO:0048511;0;0;0;0;0;1;0;0;0;rhythmic process;BP
GO:0048519;0;0;0;0;1;0;0;0;0;negative regulation of biological proces...;BP
GO:0048523;0;0;0;0;1;0;0;0;0;negative regulation of cellular process;BP
GO:0048583;0;0;0;0;0;0;1;0;0;regulation of response to stimulus;BP
GO:0048584;0;0;0;0;0;0;1;0;0;positive regulation of response to stimu...;BP
GO:0048585;0;1;0;0;0;0;0;0;0;negative regulation of response to stimu...;BP
GO:0050657;0;0;0;0;1;0;0;0;0;nucleic acid transport;BP
GO:0050795;0;0;0;0;0;1;0;0;0;regulation of behavior;BP
GO:0050817;0;1;0;0;0;0;0;0;0;coagulation;BP
GO:0050878;0;1;0;0;0;0;0;0;0;regulation of body fluid levels;BP
GO:0051128;0;0;0;0;0;0;0;1;1;regulation of cellular component organiz...;BP
GO:0051129;0;0;0;0;0;0;0;1;1;negative regulation of cellular componen...;BP
GO:0051172;0;0;0;0;1;0;0;0;0;negative regulation of nitrogen compound...;BP
GO:0051174;0;0;0;1;0;0;1;1;1;regulation of phosphorus metabolic proce...;BP
GO:0051239;0;1;0;0;0;1;0;0;0;regulation of multicellular organismal p...;BP
GO:0051241;0;1;0;0;0;0;0;0;0;negative regulation of multicellular org...;BP
GO:0051246;0;0;0;0;1;0;1;0;0;regulation of protein metabolic process;BP
GO:0051248;0;0;0;0;1;0;0;0;0;negative regulation of protein metabolic...;BP
GO:0051338;0;0;0;0;0;0;1;0;0;regulation of transferase activity;BP
GO:0051346;0;0;0;0;1;0;0;0;0;negative regulation of hydrolase activit...;BP
GO:0051493;0;0;0;1;1;0;0;1;1;regulation of cytoskeleton organization;BP
GO:0051494;0;0;0;1;0;0;0;1;1;negative regulation of cytoskeleton orga...;BP
GO:0051726;0;0;0;1;0;0;1;1;1;regulation of cell cycle;BP
GO:0055114;0;0;0;1;1;0;0;1;1;oxidation-reduction process;BP
GO:0061024;0;0;0;1;0;0;0;1;1;membrane organization;BP
GO:0061025;0;0;0;1;0;0;0;0;0;membrane fusion;BP
GO:0061919;0;0;0;1;0;0;0;0;0;process utilizing autophagic mechanism;BP
GO:0062197;0;0;0;0;1;0;0;0;0;cellular response to chemical stress;BP
GO:0065009;0;0;0;1;0;0;1;1;1;regulation of molecular function;BP
GO:0070887;0;0;1;0;0;0;0;0;0;cellular response to chemical stimulus;BP
GO:0071702;0;0;0;0;0;1;1;0;0;organic substance transport;BP
GO:0071704;0;0;0;0;0;0;1;0;0;organic substance metabolic process;BP
GO:0071705;0;0;0;1;0;1;1;0;0;nitrogen compound transport;BP
GO:0072524;0;0;0;0;0;0;0;1;1;pyridine-containing compound metabolic p...;BP
GO:0072525;0;0;0;0;0;0;0;1;1;pyridine-containing compound biosyntheti...;BP
GO:0072527;0;0;0;0;0;1;1;0;0;pyrimidine-containing compound metabolic...;BP
GO:0072528;0;0;0;0;0;1;1;0;0;pyrimidine-containing compound biosynthe...;BP
GO:0072593;0;0;1;0;1;0;0;0;0;reactive oxygen species metabolic proces...;BP
GO:0080134;0;1;0;0;0;0;0;0;0;regulation of response to stress;BP
GO:0080135;0;0;0;0;0;1;0;0;0;regulation of cellular response to stres...;BP
GO:0090066;0;0;0;1;0;0;0;1;1;regulation of anatomical structure size;BP
GO:0090304;0;0;0;0;1;0;0;0;0;nucleic acid metabolic process;BP
GO:0090407;0;0;0;0;0;1;0;0;0;organophosphate biosynthetic process;BP
GO:0097237;0;0;0;0;1;0;0;0;0;cellular response to toxic substance;BP
GO:0097435;0;0;0;0;0;0;0;1;1;supramolecular fiber organization;BP
GO:0098655;0;0;0;1;1;0;0;1;1;cation transmembrane transport;BP
GO:0098754;0;0;1;0;0;0;0;0;0;detoxification;BP
GO:1900046;0;1;0;0;0;0;0;0;0;regulation of hemostasis;BP
GO:1900047;0;1;0;0;0;0;0;0;0;negative regulation of hemostasis;BP
GO:1901293;0;0;0;0;0;1;0;1;1;nucleoside phosphate biosynthetic proces...;BP
GO:1901360;0;0;0;0;1;0;1;0;0;organic cyclic compound metabolic proces...;BP
GO:1901615;0;0;0;0;0;0;1;0;0;organic hydroxy compound metabolic proce...;BP
GO:1901617;0;0;0;0;0;0;1;0;0;organic hydroxy compound biosynthetic pr...;BP
GO:1901700;0;0;0;0;1;0;0;0;0;response to oxygen-containing compound;BP
GO:1902600;0;0;0;1;1;0;0;1;1;proton transmembrane transport;BP
GO:1902903;0;0;0;0;0;0;0;1;1;regulation of supramolecular fiber organ...;BP
GO:1902904;0;0;0;0;0;0;0;1;1;negative regulation of supramolecular fi...;BP
GO:1903509;0;0;0;1;0;0;0;0;0;liposaccharide metabolic process;BP
GO:1990748;0;0;1;0;0;0;0;0;0;cellular detoxification;BP
GO:2001020;0;0;0;0;0;1;0;0;0;regulation of response to DNA damage sti...;BP
GO:2001022;0;0;0;0;0;1;0;0;0;positive regulation of response to DNA d...;BP
